#,coin_id,name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,circulating_supply
385,3418,Metadium,META,0.03,0.2278,1.3479,-3.5552,1687369624
410,1552,Enzyme,MLN,18.49,-0.6737,-0.8720,0.8855,2065636
376,17917,RSS3,RSS3,0.11,-0.1258,2.4606,-1.0574,393379941
389,7236,Celo Dollar,CUSD,1.00,-0.0955,0.0493,-0.0308,42261781
414,8037,Virtua,TVK,0.03,-0.1648,-0.8953,6.3999,1074330951
436,9638,SingularityDAO,SDAO,0.45,-1.6087,9.7819,31.1263,82733204
422,3714,LTO Network,LTO,0.09,-0.3442,0.6524,2.6767,414997020
420,21928,Veritise,VTS,0.16,-0.3378,-0.0629,-0.5552,224055263
395,3628,MXC,MXC,0.02,-0.0324,1.5644,-0.1799,2642132371
412,7055,DeFi Pulse Index,DPI,69.62,-0.0033,2.9088,2.3100,558983
415,2398,SelfKey,KEY,0.01,-0.4718,-2.6121,33.4213,5304969446
342,3928,IDEX,IDEX,0.08,-0.0921,0.8757,-4.2906,673858614
404,5618,Dawn Protocol,DAWN,0.54,0.0352,2.9971,0.4006,74464266
411,5947,TokenPocket,TPT,0.01,0.0320,1.3422,7.2223,3466457400
406,18860,Zebec,ZBC,0.01,-0.0748,1.6251,-11.6632,3047486279
396,19134,Bubblefong,BBF,0.34,-0.1856,-6.8194,-39.4879,111506166
418,5589,DXdao,DXD,744.96,0.2599,0.8114,0.1623,49320
416,7678,Rook,ROOK,60.78,-0.0164,1.4005,10.8451,617636
405,2492,Elastos,ELA,1.93,1.9295,6.0522,64.1583,20346868
409,6950,Perpetual Protocol,PERP,0.59,0.0683,0.4091,1.5646,66002157
407,2638,Cortex,CTXC,0.18,-0.6996,-1.8167,10.0592,212432196
408,1710,Veritaseum,VERI,17.07,-3.2000,-5.5510,-18.2857,2149646
336,26034,OXBT,OXBT,0.18,-2.0334,-9.3336,-8.5304,200000000
417,10631,Gods Unchained,GODS,0.17,0.1566,1.8825,1.5063,220986052
377,7046,Aavegotchi,GHST,0.99,0.2919,0.9244,3.6011,45096312
466,7440,BarnBridge,BOND,3.70,0.1619,0.2399,-2.2959,7910262
431,13969,Phoenix,PHB,0.88,-0.0876,3.9301,17.3844,39768304
506,6641,AhaToken,AHT,0.01,2.9578,0.8737,-4.8270,3731659255
461,8206,QuickSwap,QUICK,58.83,-0.0034,-0.1371,1.9819,513997
434,5380,HUNT,HUNT,0.31,0.0119,2.2714,-1.8713,110357399
507,15585,GuildFi,GF,0.08,-0.0331,1.1320,-1.8036,318523280
479,8384,CLV,CLV,0.05,-0.3576,1.2161,1.3339,583388095
449,21351,Sweat Economy,SWEAT,0.01,0.0329,2.5340,2.0754,4903226634
482,19966,Quickswap [New],QUICK,0.05,-0.2433,0.1263,0.6529,530000000
457,2915,Moss Coin,MOC,0.08,0.0088,-0.7196,-5.8304,379623956
427,6833,Litentry,LIT,0.89,0.2463,0.8811,8.6566,39619383
443,10750,Qredo,QRDO,0.11,-0.4662,4.0558,8.4903,313230118
435,7229,Gelato,GEL,0.31,-0.0029,0.2784,19.3645,109951523
442,1883,Adshares,ADS,0.86,-0.5929,1.7625,4.6847,38752077
465,14556,Boba Network,BOBA,0.17,-0.4870,-0.3066,-0.6345,171624232
478,1312,Steem Dollars,SBD,2.21,0.0026,-2.3613,-2.5034,12189430
437,24203,SmarDex,SDEX,0.01,0.1940,2.3178,18.9610,6372812739
428,7311,Beefy Finance,BIFI,436.71,0.0796,1.4911,1.6128,80000
426,8642,Fei USD,FEI,0.97,-0.0370,-1.8554,0.8504,34250186
425,8615,Ethernity,ERN,1.95,0.4330,4.1267,7.4355,17805153
432,1974,Propy,PRO,0.35,-0.0014,0.2416,4.7566,100000000
424,9720,PlatON,LAT,0.01,-1.0365,-0.0272,-0.3456,3774232460
438,9868,XCAD Network,XCAD,0.81,-0.1012,2.7879,-4.3976,42579811
458,23196,Grove Coin,GRV,0.34,0.3795,6.5387,0.4276,95083335
433,5957,DFI.Money,YFII,888.16,-0.1564,0.3823,-1.7872,38596
452,8613,Alchemix,ALCX,17.45,0.1199,1.6884,1.7699,1829744
498,2530,Fusion,FSN,0.34,0.1229,3.1198,-3.7464,74354913
499,2866,Sentinel Protocol,UPP,0.05,-0.6368,1.3832,-6.1521,459834811
439,22320,HELLO,HELLO,0.05,0.3399,-1.3987,-8.3246,620530789
470,1856,district0x,DNT,0.03,-0.0169,4.7559,2.5902,1000000000
441,2348,Measurable Data Token,MDT,0.05,0.0278,-2.2104,15.3571,676157012
456,8707,Alpaca Finance,ALPACA,0.21,-0.1045,1.6171,-3.4611,151492021
446,8296,KLAYswap Protocol,KSP,0.60,0.1933,0.1148,0.6775,54799370
419,8985,Efinity Token,EFI,0.05,-2.0551,-10.8018,6.9083,622486335
450,8292,Router Protocol,ROUTE,2.86,0.8703,8.2531,3.8619,11408311
497,7460,Alpha Quark Token,AQT,0.95,0.3246,1.4132,-4.7215,26640784
467,258,Groestlcoin,GRS,0.35,0.0374,0.5675,-1.6169,82646844
462,4191,Syntropy,NOIA,0.04,-0.0029,4.6564,9.3724,681136945
453,8602,Bounce Token,AUCTION,4.86,-0.0283,0.2190,-0.3751,6500000
454,21997,Hourglass,WAIT,0.32,-0.0028,0.8873,10.1108,97959725
451,15447,Lyra,LYRA,0.08,-0.0789,-0.0925,4.3829,377272547
455,5631,Orion Protocol,ORN,0.92,0.4253,3.2994,-0.0773,34146255
464,11568,Adventure Gold,AGLD,0.44,0.5552,5.0503,16.7941,70170001
486,10180,Gomining,GMT,0.10,-0.1095,2.5932,3.8405,263581074
475,7535,Keep3rV1,KP3R,66.50,0.3595,3.0190,3.7667,425178
488,2553,Refereum,RFR,0.01,-0.1640,-2.4403,-6.0693,4999180100
476,8066,Yield App,YLD,0.13,0.0429,1.5392,4.0487,222045131
495,7463,RAMP,RAMP,0.05,0.0112,2.8722,-4.5384,477838740
421,8833,DeGate,DG,0.17,-0.0201,-0.0056,-15.6108,217041086
469,1785,Gas,GAS,2.90,-0.2762,1.9063,4.4577,10128375
468,6727,Reserve,RSV,1.00,-0.0100,0.0145,0.7027,28850667
481,7189,Origin Dollar,OUSD,1.00,0.0210,0.0051,0.1882,27358632
463,4064,USDK,USDK,1.02,-0.1217,0.1663,0.6658,28600072
505,11213,Star Atlas DAO,POLIS,0.16,0.0281,-0.0838,4.5195,153005849
471,7281,Persistence,XPRT,0.17,0.1995,1.0669,5.0489,165888282
472,2776,Travala.com,AVA,0.55,-0.0212,1.9225,1.7715,52262009
473,6138,DIA,DIA,0.30,-0.0868,1.4740,3.7601,94287049
487,2143,Streamr,DATA,0.03,0.0185,0.4859,2.9280,946154153
493,10409,Opulous,OPUL,0.12,0.1165,2.2121,-16.5491,227564107
474,5225,FC Barcelona Fan Token,BAR,3.00,-0.0624,0.6446,-3.0875,9405844
477,18112,Alpine F1 Team Fan Token,ALPINE,2.44,-0.2356,0.2492,0.0609,11360000
484,9288,BENQI,QI,0.01,-0.1120,1.6846,-2.3451,3722401599
502,9637,Altura,ALU,0.04,0.8607,5.5609,3.3560,719755021
489,17145,League of Kingdoms Arena,LOKA,0.36,-0.1176,0.3593,1.7176,73874861
492,24007,Delysium,AGI,0.15,0.5012,8.5299,11.5170,180175254
483,4956,MAP Protocol,MAP,0.01,0.7735,-0.6492,-7.4351,2205183690
496,22847,FNCY,FNCY,0.03,0.1764,1.2240,-4.7841,828380800
500,2941,CoinEx Token,CET,0.03,0.0800,0.6874,-2.6295,708633582
480,14803,Aurora,AURORA,0.12,-0.4312,-2.6568,7.3792,211617600
503,16996,Pip,PIP,0.27,-0.4514,0.5897,0.7934,89585782
491,213,MonaCoin,MONA,0.40,0.0502,1.2103,-1.6285,65729675
509,8938,Ellipsis,EPS,0.03,0.1275,2.0917,0.4749,723701572
440,9286,Doge Killer,LEASH,313.53,-0.1064,-0.8415,10.8232,106273
504,4036,Contentos,COS,0.01,0.1036,0.6008,0.5410,4160904880
494,6739,ONBUFF,ONIT,0.03,1.1552,1.8769,2.0228,770075466
548,5226,Paris Saint-Germain Fan Token,PSG,4.23,0.3738,1.0208,-3.7999,4843208
583,3666,Ultiledger,ULT,0.01,-10.1519,-21.3038,-24.2655,2836429509
531,18966,NEOPIN,NPT,0.63,0.4796,-8.0665,0.5208,32252439
534,16678,NFT Worlds,WRLD,0.03,-2.4117,15.2933,-0.7027,712090665
510,16552,RAI Finance,SOFI,0.07,0.3282,-7.2179,-0.0274,326355250
570,2289,Gifto,GFT,0.02,-0.1947,-0.4874,0.3220,999271532
558,2937,VITE,VITE,0.02,0.0847,-0.0100,8.3167,1024808226
539,8827,Boson Protocol,BOSON,0.18,-0.3644,0.2968,2.2174,114435756
516,7424,Hermez Network,HEZ,4.90,-0.0061,0.3361,0.5143,4700000
546,5865,FIO Protocol,FIO,0.03,0.0809,0.4466,2.1895,768032192
519,7672,Unifi Protocol DAO,UNFI,4.48,0.0630,1.1597,3.8727,5137284
517,8083,Tokenlon Network Token,LON,0.52,-0.1358,-1.3170,-4.5907,44559365
579,6520,HOPR,HOPR,0.05,-0.1277,0.1610,-5.7197,341173813
544,11222,Nine Chronicles,WNCG,0.08,-0.0107,-0.4171,-0.1156,254227218
527,5309,OG Fan Token,OG,5.86,-0.0470,-0.8921,-9.6386,3857921
513,22710,VIDT DAO,VIDT,0.03,0.4182,2.1418,1.1449,770011370
511,463,BitShares,BTS,0.01,0.1883,0.0314,-0.7627,2994999123
508,12787,Minswap,MIN,0.03,-0.1739,1.5319,6.7236,703495857
520,2058,AirSwap,AST,0.13,0.3632,1.9634,-11.3951,174479533
521,5829,TrustSwap,SWAP,0.22,-0.1473,0.1970,-11.5766,99995164
515,268,WhiteCoin,XWC,0.03,0.6805,0.5274,0.1899,764324623
514,19819,REI Network,REI,0.02,0.0513,-0.5839,4.6313,950000000
563,20716,Ferro,FER,0.02,-0.1644,-1.0100,-5.7432,932530341
525,3,Namecoin,NMC,1.55,-0.1971,2.5836,2.8172,14736400
535,15678,Voxies,VOXEL,0.18,0.0597,0.0011,0.6733,117260798
524,7960,Venus XVS,vXVS,0.10,0.3015,2.9141,2.1319,224433925
540,5882,StaFi,FIS,0.35,0.2792,0.6074,2.5174,60452000
523,19018,Choise.com,CHO,0.20,0.0250,-3.4078,-22.9950,109573889
526,2092,NULS,NULS,0.22,0.1498,1.3884,2.4366,102720367
555,1700,Æternity,AE,0.06,0.0406,5.3837,-1.3403,368531254
538,10897,Alitas,ALT,0.18,0.1404,-5.4878,1.8795,120000000
530,2505,Bluzelle,BLZ,0.06,-0.0106,0.2997,3.8838,340999974
528,10974,Tranchess,CHESS,0.18,0.2745,0.6125,0.5233,120719357
529,1414,Firo,FIRO,1.78,-0.1719,-0.2456,1.2218,12417631
554,8617,Red Kite,PKF,0.18,-0.3223,1.3328,-12.5953,114692138
536,5821,Aleph.im,ALEPH,0.09,0.6730,2.1403,5.0596,247220482
550,14534,ParaSwap,PSP,0.03,-0.3381,1.1383,4.5107,617845634
575,1392,Pluton,PLU,9.91,-2.1407,-0.3058,6.1402,1852000
549,2873,Metronome,MET,1.52,0.0433,2.2164,9.3067,14299569
537,11035,Splintershards,SPS,0.02,0.0214,1.9229,3.0722,995841690
518,2933,BitMart Token,BMX,0.12,-0.6185,-5.4770,2.2797,173717945
547,16334,ApolloX,APX,0.05,0.0156,0.4387,-2.9070,444535251
532,13198,NuNet,NTX,0.04,-2.0708,-1.2596,25.1081,504084665
577,10759,rhino.fi,DVF,0.73,-2.8752,-2.0176,-3.1356,24147148
551,5435,Epic Cash,EPIC,1.14,-0.9802,-8.0151,0.0935,16412012
522,7576,Kava Lend,HARD,0.16,0.2161,-1.8121,10.9833,134791668
574,1853,OAX,OAX,0.24,0.3000,-1.0067,4.4197,76738591
541,4758,dForce,DF,0.05,0.1231,0.5340,5.6247,432032332
552,1169,PIVX,PIVX,0.28,-0.2814,3.3501,14.0091,73929363
557,3968,Elitium,EUM,0.59,-0.0170,-13.6621,-14.5001,27916379
588,7726,ICHI,ICHI,2.65,-0.0098,1.2047,-0.8796,6701865
545,4944,Tellor,TRB,12.07,0.0296,-0.5737,0.1672,1703442
543,21557,Mint Marble,MIM,0.61,-0.0201,-0.0548,-4.7731,33800000
568,6536,MANTRA,OM,0.03,0.2924,0.4931,1.0254,689979110
580,11171,Mango,MNGO,0.02,-0.0202,-4.3191,0.0940,1000000000
582,18913,MarsDAO,MDAO,0.25,0.0188,-0.1181,-6.8084,70599020
562,6187,Serum,SRM,0.07,0.1200,-0.6075,-1.1587,263244669
586,9104,AIOZ Network,AIOZ,0.02,-0.0834,0.2918,2.1821,954753838
572,7048,Wing Finance,WING,5.58,0.7383,-0.0679,-0.4103,3342771
561,8771,GYEN,GYEN,0.01,0.0142,0.8066,-0.2849,2733961999
578,14052,FC Porto Fan Token,PORTO,2.35,-0.4267,2.2123,-0.8708,7800000
559,3866,CONUN,CON,0.01,0.0482,0.2990,0.9988,2897405859
589,5877,Rarible,RARI,1.36,-0.6580,14.1462,1.1616,14441025
512,1768,Ambire AdEx,ADX,0.16,-0.1980,0.9639,1.9321,142557534
564,9220,StrikeX,STRX,0.02,0.2225,1.1092,2.1138,861141947
585,2245,Presearch,PRE,0.04,0.0054,1.4447,-7.3057,396578435
566,10293,Swarm,BZZ,0.38,0.2263,-1.2345,-7.2931,49595320
556,13521,Numbers Protocol,NUM,0.05,0.3002,9.7576,-13.9702,382548052
567,6859,Harvest Finance,FARM,28.16,-0.0145,0.7837,0.6613,681175
565,17464,StreamCoin,STRM,0.01,0.0224,0.1044,1.7274,1492629682
573,6830,KILT Protocol,KILT,0.38,-0.7069,3.5963,5.6587,49420140
587,5410,PARSIQ,PRQ,0.10,0.3154,5.1588,7.0389,185256872
569,7158,BurgerCities,BURGER,0.48,-0.4846,0.8611,1.3107,38825137
584,23633,HAVAH,HVH,0.04,-0.3356,-5.6797,-0.9714,455935917
581,9931,SONM (BEP-20),SNM,0.41,0.4389,0.5505,-1.5045,44400000
696,2212,Quantstamp,QSP,0.01,0.1595,0.6741,-0.1967,713801947
700,1492,Obyte,GBYTE,11.07,-0.0113,3.1548,-0.6162,836463
703,16086,BitTorrent(New),BTT,0.00,-0.0156,1.0102,1.5335,951421714286000
28,8916,Internet Computer,ICP,4.95,0.2042,-0.0719,-2.7702,436371657
704,24478,Pepe,PEPE,0.00,0.1544,-0.8533,-7.1338,391790000000000
702,5994,Shiba Inu,SHIB,0.00,-0.0504,-0.3340,2.3268,589353535238474
614,2675,Dock,DOCK,0.02,-0.0412,1.6890,6.5719,874993889
59,19891,USDD,USDD,1.00,0.0165,-0.0414,0.0454,739955615
625,16979,Hillstone Finance,HSF,0.47,-0.0147,-1.6909,-1.5640,30011471
661,8669,Sovryn,SOV,0.45,-0.1784,1.8646,1.4912,26743298
662,5,Peercoin,PPC,0.41,-0.0502,-1.0534,0.6601,28182698
610,2758,Unibright,UBT,0.10,-0.1882,2.8253,-1.2917,149999999
642,7095,Unisocks,SOCKS,43302.45,-0.0029,3.2456,35.8263,302
596,1556,Chrono.tech,TIME,23.71,0.3867,1.1740,-3.9178,710112
603,11871,GameZone,GZONE,0.02,-0.0875,9.4727,4.1775,840117285
616,21060,GALAXIA,GXA,0.01,-0.0484,-0.2224,0.3574,2163040242
655,8800,Dora Factory,DORA,2.41,0.3090,0.1791,-0.1252,5032751
593,788,Circuits of Value,COVAL,0.01,-0.0030,-0.3409,1.6696,1784838484
658,8255,Prosper,PROS,0.41,0.1818,0.5233,7.1014,28937409
597,12749,Nakamoto Games,NAKA,0.24,-0.4349,5.7699,0.4456,72360517
598,9764,MILC Platform,MLT,0.14,1.2823,4.0084,-1.4255,124423461
659,13967,Goldfinch,GFI,0.41,-0.4999,0.0232,0.9982,29135286
600,4118,ForTube,FOR,0.02,1.6433,3.3580,13.7435,795000000
595,3581,Kleros,PNK,0.02,-0.5500,2.6628,-2.9839,682592467
594,22031,Angola,AGLA,0.04,0.6867,2.1212,-23.1140,475450000
622,8144,OVR,OVR,0.76,-0.5605,8.4217,43.8530,20439769
605,5893,Frontier,FRONT,0.18,0.0732,1.4236,2.6877,90000000
602,2213,QASH,QASH,0.05,1.7180,0.7965,10.4530,350000000
628,4467,Nestree,EGG,0.01,0.0106,35.2253,41.6802,2675880474
599,20090,ETHAX,ETHAX,0.09,-0.0215,0.0720,5.4100,179491102
606,5228,Galatasaray Fan Token,GAL,3.90,-0.6437,0.3746,13.1399,4094238
609,10630,Guild of Guardians,GOG,0.04,-0.0028,4.5646,-4.2919,380012334
621,12041,Dimitra,DMTR,0.05,-0.0028,12.8720,16.7341,323256994
644,7882,Efforce,WOZX,0.02,-3.4178,-1.1000,1.1027,527135519
590,9148,Drep [new],DREP,0.36,0.0742,-0.8594,-6.5861,48737500
693,19063,MEVerse,MEV,0.01,1.6028,3.0026,0.8660,1691645035
624,2827,Phantasma,SOUL,0.12,0.2185,-1.3485,-15.0092,119701149
613,4860,Era Swap,ES,0.01,1.3439,3.0666,3.8253,2055279758
604,9467,Celo Euro,CEUR,1.07,0.0716,0.2857,-0.7551,14833492
638,4779,HUSD,HUSD,0.06,-0.4604,0.6940,7.1603,222593861
607,23794,Optimus AI,OPTI,0.16,0.9157,-2.8262,-12.2995,95034939
611,22837,DIMO,DIMO,0.17,-4.1806,-5.9904,8.1927,88406213
632,3724,SOLVE,SOLVE,0.03,0.0039,1.6447,-4.6587,555000000
612,1925,Waltonchain,WTC,0.18,0.0368,-0.2617,4.8457,82481989
619,5634,Fuse,FUSE,0.07,0.2356,0.7601,-0.9755,219882167
617,10744,DeRace,DERC,0.15,-0.0678,0.6826,3.2840,98610000
615,10805,Throne,THN,0.04,0.1167,-0.3586,4.3340,390752313
620,11451,Shiden Network,SDN,0.24,0.0234,1.7552,-2.0444,60789293
623,5338,Somnium Space Cubes,CUBE,1.16,-0.0028,0.7963,11.5840,12500000
626,2090,LATOKEN,LA,0.04,0.0314,2.8082,2.8476,380105462
651,8894,Deeper Network,DPR,0.01,0.0685,-0.5683,-2.5194,1771489640
641,22052,SpaceN,SN,0.35,-0.2466,14.0582,51.5460,40010000
629,5514,The Transfer Token,TTT,0.12,-0.0147,2.9758,4.8667,120750073
650,5079,apM Coin,APM,0.01,1.1013,0.1397,-2.5632,1096250000
630,5552,Hathor,HTR,0.06,0.4897,2.5508,-8.9228,244819200
649,23757,ATOR Protocol,ATOR,0.19,-2.3289,7.8988,39.9952,72164287
634,77,Diamond,DMD,3.60,-0.0985,2.4763,4.0308,3756548
633,12969,Gari Network,GARI,0.05,-0.4672,2.5413,3.6028,273397650
608,21849,Diamond Launch,DLC,0.14,8.9096,-22.4868,6.5614,96203056
631,2630,PolySwarm,NCT,0.01,-0.2383,0.8962,-0.2441,1546457130
635,13524,Solend,SLND,0.39,-0.0291,-0.5407,-0.1811,34016505
636,4890,Newscrypto,NWC,0.09,-0.0740,2.2482,-2.9328,150400834
639,11796,Inter Milan Fan Token,INTER,2.81,-0.9521,-0.5983,-5.5109,4461394
656,7654,RFOX,RFOX,0.01,0.1853,4.3400,-0.3861,1312000760
657,6069,Assemble Protocol,ASM,0.01,-0.5775,1.9662,2.0041,1240454761
640,5583,Hacken Token,HAI,0.02,-0.8832,-1.8238,-17.7234,646327484
648,23756,ChainGPT,CGPT,0.14,0.4025,1.5509,-2.7280,85061251
646,11202,Tokemak,TOKE,0.77,-0.1013,3.6006,0.8604,16314929
643,18775,Walken,WLKN,0.03,0.1000,-0.2028,-9.4455,489436349
647,14822,Victoria VR,VR,0.01,0.0207,5.7775,23.9954,1253426598
653,2165,ERC20,ERC20,0.01,0.0256,1.5605,2.5233,1128632512
660,8245,Hydra,HYDRA,1.39,0.0520,1.2464,-1.2950,8606762
645,8538,AC Milan Fan Token,ACM,2.34,-0.4315,1.9936,0.2132,5262742
652,2019,Viberate,VIB,0.06,0.0196,0.7835,-1.1856,199995000
618,7978,Bonfida,FIDA,0.34,0.0699,2.2710,-0.7175,44729964
698,15575,Plastiks,PLASTIK,0.06,0.0139,1.1248,-0.8799,152452346
247,6651,USDX [Kava],USDX,0.83,-0.1766,0.0306,2.2144,111567264
670,11461,Marinade Staked SOL,MSOL,22.96,0.1194,3.4683,4.2971,498000
707,10804,FLOKI,FLOKI,0.00,-0.3499,0.8965,7.2272,9678391808213
716,3718,BitTorrent,BTTOLD,0.00,0.1469,3.3111,2.9669,990000000000
116,20314,Terra,LUNA,0.87,0.2674,1.5328,-2.7159,276861193
151,5370,Hive,HIVE,0.35,0.0562,-0.0697,-0.8169,492984941
732,3816,Verasity,VRA,0.01,0.6485,9.8447,15.6647,10305680354
150,2405,IOST,IOST,0.01,-0.0040,0.9136,0.8802,18708894189
705,4172,Terra Classic,LUNC,0.00,0.0161,0.6630,0.7224,5865225890903
671,5224,Juventus Fan Token,JUV,2.51,-0.6020,-0.1706,-4.2357,4412211
302,3089,AVINOC,AVINOC,0.23,-0.0033,18.4497,-16.3227,389244472
174,3701,Rootstock Infrastructure Framework,RIF,0.13,2.9012,5.2233,-1.8388,966700002
717,10407,Baby Doge Coin,BabyDoge,0.00,0.3195,7.2343,4.0971,152383783012954780
715,6945,Amp,AMP,0.00,-0.0766,1.5239,-7.5251,42227702186
712,4948,Nervos Network,CKB,0.00,1.7942,4.9902,10.4653,40895117798
695,4691,Zano,ZANO,0.86,1.6090,1.9129,-9.1768,11709626
699,2545,Arcblock,ABT,0.10,-2.1448,10.8546,16.1326,98554305
232,1044,Global Currency Reserve,GCR,1.25,-2.1009,36.4649,4647.8246,107024222
710,1042,Siacoin,SC,0.00,-0.2562,0.9540,-0.5589,54161782991
374,5072,Rakon,RKN,0.19,-0.2136,2.9413,4.7671,242857143
88,2694,Nexo,NEXO,0.68,-0.1031,0.9634,0.6725,560000011
723,1886,Dent,DENT,0.00,-0.0329,1.7503,5.3075,99007791203
688,4293,PERL.eco,PERL,0.02,-0.4884,-0.0084,-0.7323,490938908
708,2682,Holo,HOT,0.00,0.1785,0.7242,0.4231,171463297267
718,2394,Telcoin,TEL,0.00,-0.1733,5.5713,-0.2546,66990608093
709,8425,JasmyCoin,JASMY,0.00,0.2168,0.6406,-2.0470,47569999999
697,9111,Push Protocol,PUSH,0.30,-0.5904,-0.0760,-2.0929,32584071
733,6951,Reef,REEF,0.00,0.2213,1.2861,1.6923,22821409581
148,6958,Alchemy Pay,ACH,0.03,2.0714,2.9485,13.7819,6281766070
724,3012,VeThor Token,VTHO,0.00,-0.0114,0.7615,1.6697,62996482453
713,11079,Bitgert,BRISE,0.00,0.0504,0.1643,-4.1160,395688215721653
714,9436,Dogelon Mars,ELON,0.00,-0.2191,0.2272,6.3822,549652770159583
664,2081,AirDAO,AMB,0.01,1.2018,6.5388,-5.3128,1498184185
212,7548,WEMIX,WEMIX,0.83,0.1086,0.1002,-1.9112,252034470
734,11346,RACA,RACA,0.00,-0.2872,2.2505,-1.0049,334651566604
663,9291,Ternoa,CAPS,0.02,3.6094,6.7643,7.1379,651975678
692,8202,ZKSpace,ZKS,0.05,-0.0964,0.9408,0.6731,197440000
344,20641,Euro Coin,EUROC,1.07,0.0070,0.1443,-0.1185,48158521
720,14519,VVS Finance,VVS,0.00,-0.0061,0.7853,-2.4058,35250450599556
719,5113,inSure DeFi,SURE,0.00,0.0459,2.1980,-1.5466,26790063175
706,10791,eCash,XEC,0.00,0.2668,0.9428,-0.2042,19400310923303
721,9816,APENFT,NFT,0.00,-0.0524,0.4712,-0.6836,277080562500000
668,2620,Carbon Protocol,SWTH,0.01,0.0134,2.0470,-6.8442,1585510090
722,5824,Smooth Love Potion,SLP,0.00,0.0880,1.3178,1.1147,41991175621
685,6715,Sperax,SPA,0.01,0.2887,0.5040,-4.9287,1569193506
665,5221,Handshake,HNS,0.02,-0.3552,1.9864,8.7658,592856983
725,2982,MVL,MVL,0.00,0.2198,1.0229,-8.0169,23002958863
689,2949,Kryll,KRL,0.26,0.4885,1.7756,3.3383,38446598
682,7412,UniLend,UFT,0.33,-0.1538,-0.3663,-6.0743,31052564
686,12664,Scallop,SCLP,0.18,0.2017,3.5652,-2.4287,58582950
726,4206,WINkLink,WIN,0.00,-0.2493,0.6733,0.5571,961737300000
677,8874,DAFI Protocol,DAFI,0.01,-0.2620,1.7800,38.9725,914782685
305,2763,Morpheus.Network,MNW,1.51,0.6613,3.4802,9.1020,47180014
683,12623,Stader,SD,1.03,0.5633,4.7950,12.6644,10149100
691,4862,DAD,DAD,0.02,-0.1101,-0.1627,-0.2679,565833238
317,22265,Oasys,OAS,0.07,-0.0531,-1.3391,-0.6889,826339238
701,13472,XDEFI Wallet,XDEFI,0.11,-0.0295,3.8729,40.6510,85792574
667,6669,PowerPool,CVP,0.38,0.7029,0.0908,3.3286,29950763
731,2765,XYO,XYO,0.00,-0.3485,2.0882,-7.0087,12844821266
679,7664,UniCrypt,UNCX,238.32,-0.0153,2.7571,3.9019,46413
676,6180,Suku,SUKU,0.06,-0.0018,0.8936,1.6067,178403407
669,18839,Orbcity,ORB,0.09,0.0364,2.1514,-3.1116,133368912
675,9194,Saito,SAITO,0.01,0.0051,-0.9532,-3.7381,1065408547
672,16352,Green Satoshi Token (SOL),GST,0.01,-0.0262,0.4148,-1.6418,755120214
673,17704,GensoKishi Metaverse,MV,0.11,-0.0647,3.4264,0.2247,96695222
694,9760,Stratos,STOS,0.49,0.3764,0.1020,4.1767,20152153
727,11289,Spell Token,SPELL,0.00,-0.0542,0.9079,0.2472,107405628969
728,2930,IQ,IQ,0.00,-0.3055,2.3369,-3.3275,12521015157
681,10099,KALM,KALM,1.92,0.0354,4.7369,6.7439,5674845
687,8660,BSCPAD,BSCPAD,0.13,-0.1739,6.3633,9.5778,79211621
729,7242,cVault.finance,CORE,5903.58,0.0000,-0.1963,2.5354,10000
684,9608,SpookySwap,BOO,1.09,-0.5537,2.7762,-6.3173,9390930
690,17073,Affyn,FYN,0.04,0.9804,-1.2399,-0.8803,254033788
730,24477,ArbDoge AI,AIDOGE,0.00,-0.1815,-0.9073,-4.9930,174455896934211000
680,5616,MATH,MATH,0.09,-0.0524,0.2484,-5.9486,114356164
768,21134,SquidGrow,SQUIDGROW,0.00,0.2484,30.4039,-5.6644,898386749675710
739,2137,Electroneum,ETN,0.00,-0.1766,1.9220,-4.2303,17946881701
741,10641,RichQUACK.com,QUACK,0.00,2.3748,-3.5468,-15.5374,44085961274152300
445,15924,NvirWorld,NVIR,0.03,-0.0032,-4.1229,-7.3680,1037503380
740,15261,ONUS,ONUS,0.41,0.0158,0.4957,-0.6411,97106390
799,5423,DSLA Protocol,DSLA,0.00,-0.1787,10.9981,5.3781,5491802966
798,8258,CUDOS,CUDOS,0.00,2.9300,-0.8014,13.5397,5435172634
763,23380,Nexa,NEXA,0.00,-0.4353,6.6353,4.3813,2251290000000
745,11206,Bloktopia,BLOK,0.00,-0.2871,1.9220,-0.8473,17536640676
784,5966,Student Coin,STC,0.00,-0.0040,0.6901,-5.2979,5322747502
801,15142,Katana Inu,KATA,0.00,0.9268,7.3574,19.8381,21526767077
746,20513,Saitama,SAITAMA,0.00,0.2637,-1.0325,1.7542,38605752722
785,6855,BIDR,BIDR,0.00,0.0067,0.0948,-0.3413,225715436474
747,693,Verge,XVG,0.00,0.0706,0.1411,-6.4313,16519571475
789,16434,Ooki Protocol,OOKI,0.00,-0.2916,1.4980,2.0462,4542433148
735,18679,Onyxcoin,XCN,0.00,-1.0200,3.9275,0.5997,23967955784
795,10821,Starlink,STARL,0.00,0.1732,1.2982,2.6179,9979172029858
444,23037,Hifi Finance,HIFI,0.34,-0.4202,0.9966,-0.6138,95012805
591,8479,VAIOT,VAI,0.07,-0.0029,8.1860,20.7226,250204640
790,22866,Radiant,RXD,0.00,0.5403,1.1220,-17.2991,5817848987
